UIUX,CLUB,BL,TARGET PRODUCT,TEST TYPE,COMPONENT,VARIABLE,JIRA URL,TARGET URL,TITLE,WINNER,STATUS,START DATE,TODAY'S DATE,PROJECTED END DATE,PROJECTED # OF DAYS,PROJECTED SAMPLE SIZE PER OFFER,PROJECTED LIFT,CURRENT FLIGHT (DAYS),ACTUAL END DATE,RETEST,TOTAL FLIGHT (DAYS),PRODUCTION LIVE DATE,AVG LIFT (%),PRIMARY GOAL,DESCRIPTION,LEARNINGS,BL REQUEST (Y/A:B:C)
PM,NE,mxx,Join,,Funnel,,n/a,mxx-mxxduffyds-landpage-redirect-1117,mxx-mxxduffyds-landpage-redirect-1117,B,COMPLETED,"Wed, 11/1/17","Tue, 09/10",,,,,,,FALSE,,,1441.01%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Hero,,n/a,mxx_dspage_hero_copy_0118_av,mxx_dspage_hero_copy_0118_av,B,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,151.35%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Funnel,,n/a,mxx_mxxhome_join_redesign_1017_cmpid,mxx_mxxhome_join_redesign_1017_cmpid,B,COMPLETED,"Sun, 10/1/17","Tue, 09/10",,,,,,,FALSE,,,54.58%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Funnel,,n/a,mxx_mxxhome_5050_image_0817_av,mxx_mxxhome_5050_image_0817_av,A,COMPLETED,"Tue, 08/1/17","Tue, 09/10",,,,,,,FALSE,,,-0.09%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Hero,,n/a,mxx_mxxhome_hero_image_0817_av,mxx_mxxhome_hero_image_0817_av,A,COMPLETED,"Tue, 08/1/17","Tue, 09/10",,,,,,,FALSE,,,-0.90%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Icon Row,image,n/a,mxx_mxxhome_icon_swapoffer_0817_av,mxx_mxxhome_icon_swapoffer_0817_av,A,COMPLETED,"Tue, 08/1/17","Tue, 09/10",,,,,,,FALSE,,,-9.90%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Card Carousel,,n/a,mxx_mxxhome_cc_linkCopy_0817_av,mxx_mxxhome_cc_linkCopy_0817_av,B,COMPLETED,"Tue, 08/1/17","Tue, 09/10",,,,,,,FALSE,,,52.37%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Funnel,other,n/a,mxx_mxxhome_join_2step_0917_av,mxx_mxxhome_join_2step_0917_av,A,COMPLETED,"Fri, 09/1/17","Tue, 09/10",,,,,,,FALSE,,,-3.46%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Link Copy,copy - cta,n/a,mxx_nehome_join_linkCopy_0917_av,mxx_nehome_join_linkCopy_0917_av,A,COMPLETED,"Fri, 09/1/17","Tue, 09/10",,,,,,,FALSE,,,-8.86%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Nav,other,n/a,mxx_nehome_nav_swap offer_0917_av,mxx_nehome_nav_swap offer_0917_av,A,COMPLETED,"Fri, 09/1/17","Tue, 09/10",,,,,,,FALSE,,,-30.06%,Increase conversion to join.,,,
PM,NE,mxx,Join,,CTA Banner,copy - cta,n/a,mxx_dsxhome_ctaban_copy_0917_av,mxx_dsxhome_ctaban_copy_0917_av,A,COMPLETED,"Fri, 09/1/17","Tue, 09/10",,,,,,,FALSE,,,-36.07%,Increase conversion to join.,,,
RB,NE,fxx,Home Loans,,5050 - Copy,copy - paragraph,https://aaanortheast.atlassian.net/browse/AT-198,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_fxxhome_5050copy917av,fxx_fxxhome_5050_copy_917_av,B,COMPLETED,"Thu, 09/28/17","Tue, 09/10",,,,,,"Fri, 01/12",FALSE,106,,,Financial Homepage Home Loans 5050 Mortgage Products copy,Increase clicks/conversions to Mortgage Products web page. Tested Mortgage Products vs. AAA Home Loans Applications.,,
PM,NE,mxx,Join,,Hero,,n/a,mxx_nehome_header_joinlink_0118_av_4,mxx_nehome_header_joinlink_0118_av_4,B,COMPLETED,"Thu, 01/25/18","Tue, 09/10",,,,,,,FALSE,,,42.10%,Increase conversion to join.,,,
PM,NE,mxx,Renewal,,Copy,,n/a,mxx_nehome_renew_copy_1017_av,mxx_nehome_renew_copy_1017_av,B,COMPLETED,"Sun, 10/1/17","Tue, 09/10",,,,,,,FALSE,,,14.26%,Increase Renewal conversion.,,,
PM,NE,mxx,Join,,Redirect,,n/a,mxx_nehome_join_redirect_1017_dsktpv_2,mxx_nehome_join_redirect_1017_dsktpv_2,NONE,COMPLETED,"Sun, 10/1/17","Tue, 09/10",,,,,,,FALSE,,,0.00%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Redirect,,n/a,mxx_nehome_join_redirect_1017_dsktpv,mxx_nehome_join_redirect_1017_dsktpv,NONE,COMPLETED,"Sun, 10/1/17","Tue, 09/10",,,,,,,FALSE,,,0.00%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Redirect,,n/a,mxx_nehome_join_redirect_1017_av,mxx_nehome_join_redirect_1017_av,NONE,COMPLETED,"Sun, 10/1/17","Tue, 09/10",,,,,,,FALSE,,,0.00%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Funnel,,n/a,mxx_mxxhome_mbrbenefits_link_1017_av,mxx_mxxhome_mbrbenefits_link_1017_av,A,COMPLETED,"Sun, 10/1/17","Tue, 09/10",,,,,,,FALSE,,,-0.43%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Redirect,,n/a,mxx_nehome_join_redirect_1017_dsktpv_3,mxx_nehome_join_redirect_1017_dsktpv_3,A,COMPLETED,"Sun, 10/1/17","Tue, 09/10",,,,,,,FALSE,,,-2.22%,Increase conversion to join.,,,
RB,NE,fxx,Auto Buying Program,,Redesign,copy - cta,,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_autobuying_1colimage917avv20,fxx_autobuying_1col_image_917_av_v2,B,COMPLETED,"Tue, 10/3/17","Tue, 09/10",,,,,,"Fri, 01/12",FALSE,101,,,Increase conversions/clicks for Auto Buying Program widget. Changed 1 column content image to True Car logo.,Changed 1 column content image to True Car logo.,,
PM,NE,mxx,Join,,Redesign,,n/a,mxx_bbsweepstakes_redesign_0418_av,mxx_bbsweepstakes_redesign_0418_av,B,COMPLETED,"Sun, 04/1/18","Tue, 09/10",,,,,,,FALSE,,,38.27%,Increase conversion to join.,,,
MG,OAC,mxx,Join,Conversion,Hero (400),image,https://aaanortheast.atlassian.net/browse/MUL-798,https://aaanortheast.experiencecloud.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/oac-mxx-oachome-hero-swap-join-abandon-0918-rtrgt,oac-mxx-oachome-hero-swap-join-abandon-0918-rtrgt,B,COMPLETED,"Mon, 09/24/18","Tue, 09/10",,,,,,"Thu, 11/29",FALSE,66,,36.99%,Increase conversion to Join Abandons. Copy test.,,"The $15 dollar offer was more appealing and got people int the funnel, next steps to bring it to step 2 of the funnel",
PM,NE,mxx,Join,,Redesign,,n/a,mxx_mxxpremier_benefits_redesign_0218_av,mxx_mxxpremier_benefits_redesign_0218_av,B,COMPLETED,"Thu, 02/1/18","Tue, 09/10",,,,,,,FALSE,,,24.34%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Redesign,styling,n/a,mxx_mxxhome_join_redesign_1117_cmpid,mxx_mxxhome_join_redesign_1117_cmpid,A,COMPLETED,"Wed, 11/1/17","Tue, 09/10",,,,,,,FALSE,,,-67.90%,Increase conversion to join.,,,
RB,NE,fxx,Auto Extended Warranty,,Redesign,copy - cta,https://aaanortheast.atlassian.net/browse/AT-226,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_autoext_copyredesign1117av,fxx_autoext_copy_redesign_1117_av,B,COMPLETED,"Tue, 11/14/17","Tue, 09/10",,,,,,"Fri, 01/12",FALSE,59,,,Increase clicks to the Vehicle Protection Protection Inquiry Form. Tested layout of benefits section.,Tested layout of benefits section.,,
PM,NE,mxx,Join,,Redirect,,n/a,mxx_mxxbenefits_redirect_redesign_0118_av,mxx_mxxbenefits_redirect_redesign_0118_av,B,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,19.46%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Funnel,,n/a,mxx_nehome_join_plus_premier_1217_v2_sem,mxx_nehome_join_plus_premier_1217_v2_sem,A,COMPLETED,"Fri, 12/1/17","Tue, 09/10",,,,,,,FALSE,,,-1.43%,Increase conversion to join.,,,
RB,NE,fxx,Finance Products,,Promo Slider,copy - cta,https://aaanortheast.atlassian.net/browse/AT-243,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_homeloans_ctabanredesign1217av,fxx_homeloans_ctaban_redesign_1217_av,B,COMPLETED,"Mon, 12/18/17","Tue, 09/10",,,,,,"Fri, 01/12",FALSE,25,,,Increase clicks to Home Loans Seminars and Webinars pages. Tested cta banner vs. promo banner.,Tested cta banner vs. promo banner.,,
PM,NE,mxx,Join,,Redirect,,n/a,mxx_mxxbenefits_redirect_redesign_0118_av_2,mxx_mxxbenefits_redirect_redesign_0118_av_2,B,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,19.46%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Funnel,,n/a,mxx_mxxjoinfunnel_component_copy_0218_av,mxx_mxxjoinfunnel_component_copy_0218_av,B,COMPLETED,"Thu, 02/1/18","Tue, 09/10",,,,,,,FALSE,,,17.66%,Increase conversion to join.,,,
PM,NE,mxx,Join SEM,,Redirect,,n/a,mxx_mxxhome_semcmp_redirect_0118_dsktp,mxx_mxxhome_semcmp_redirect_0118_dsktp,B,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,14.39%,Increase conversion to join SEM.,,,
PM,NE,mxx,Join,,Testimonials,,n/a,mxx_mxxhome_testimonials_redesign_0218_av,mxx_mxxhome_testimonials_redesign_0218_av,B,COMPLETED,"Thu, 02/1/18","Tue, 09/10",,,,,,,FALSE,,,16.21%,Increase conversion to join.,,,
